iteration,reward_mean,length_mean,games,loss
78000,7.25,10.25,8,0.11518444120883942
79000,7.88,10.88,8,0.0924750417470932
80000,6.25,9.25,8,0.037865050137043
81000,7.88,10.88,8,0.2035209983587265
82000,6.75,9.75,8,0.055462900549173355
83000,7.88,10.88,8,0.0912611335515976
84000,10.12,13.12,8,0.1246711015701294
85000,10.0,13.0,9,0.11194945126771927
86000,6.5,9.5,8,0.044552937150001526
87000,8.88,11.88,8,0.04011405259370804
88000,8.38,11.38,8,0.22080634534358978
89000,12.25,15.25,8,0.02901812270283699
90000,4.62,7.62,8,0.2146487981081009
91000,7.12,10.12,8,0.0638992115855217
92000,14.88,17.88,8,0.12727992236614227
93000,6.12,9.12,8,0.03634795546531677
94000,9.12,12.12,8,0.05983749404549599
95000,7.25,10.25,8,0.02774995006620884
96000,6.62,9.62,8,0.04250733554363251
97000,13.25,16.25,8,0.05302368476986885
98000,6.12,9.12,8,0.06755800545215607
99000,7.88,10.88,8,0.07366306334733963
100000,11.12,14.12,8,0.10670685023069382
101000,5.75,8.75,8,0.13665065169334412
102000,13.62,16.62,8,0.02072492055594921
103000,13.38,16.38,8,0.10168061405420303
104000,12.12,15.12,8,0.08795420080423355
105000,6.25,9.25,8,0.030172742903232574
106000,12.62,15.62,8,0.16700610518455505
107000,8.33,11.33,9,0.07319699972867966
108000,11.88,14.88,8,0.03484639152884483
109000,8.5,11.5,8,0.11854520440101624
110000,12.75,15.75,8,0.09083694219589233
111000,6.62,9.62,8,0.05131055414676666
112000,11.38,14.38,8,0.04072275757789612
113000,9.62,12.62,8,0.0781979113817215
114000,8.75,11.75,8,0.12980341911315918
115000,9.88,12.88,8,0.047796450555324554
116000,13.25,16.25,8,0.09814266115427017
117000,10.88,13.88,8,0.21806910634040833
118000,9.88,12.88,8,0.050433263182640076
119000,11.62,14.62,8,0.04230300709605217
120000,12.22,15.22,9,0.04663526639342308
121000,13.0,16.0,8,0.061013396829366684
122000,10.0,13.0,8,0.06276639550924301
123000,12.12,15.12,8,0.20995937287807465
124000,9.25,12.25,8,0.1168050467967987
125000,9.75,12.75,8,0.11509820818901062
126000,11.25,14.25,8,0.048986271023750305
127000,14.62,17.62,8,0.09835618734359741
128000,13.38,16.38,8,0.04164399951696396
129000,7.62,10.62,8,0.041781555861234665
130000,13.5,16.5,8,0.027499178424477577
131000,14.12,17.12,8,0.04767971485853195
132000,14.0,17.0,8,0.040345385670661926
133000,8.88,11.88,8,0.2595732510089874
134000,12.25,15.25,8,0.12618382275104523
135000,12.12,15.12,8,0.10403617471456528
136000,7.12,10.12,8,0.10219347476959229
137000,8.75,11.75,8,0.05502944067120552
138000,15.88,18.88,8,0.03395584970712662
139000,11.5,14.5,8,0.09450030326843262
140000,15.12,18.12,8,0.06026703864336014
141000,11.5,14.5,8,0.05800272524356842
142000,10.25,13.25,8,0.03348572179675102
143000,10.62,13.62,8,0.12369713187217712
144000,13.5,16.5,8,0.11290665715932846
145000,9.5,12.5,8,0.0982309877872467
146000,12.38,15.38,8,0.06774474680423737
147000,7.25,10.25,8,0.1921554058790207
148000,9.0,12.0,8,0.17275452613830566
149000,10.38,13.38,8,0.10018689930438995
150000,17.88,20.88,8,0.07573505491018295
151000,17.0,20.0,8,0.051786892116069794
152000,11.5,14.5,8,0.15507188439369202
153000,13.62,16.62,8,0.02883235737681389
154000,9.12,12.12,8,0.08006571233272552
155000,9.38,12.38,8,0.05782708525657654
156000,14.25,17.25,8,0.1279233694076538
157000,10.38,13.38,8,0.04485113546252251
158000,6.5,9.5,8,0.1559801995754242
159000,16.88,19.88,8,0.16962458193302155
160000,7.88,10.88,8,0.0939866155385971
161000,15.75,18.75,8,0.051002345979213715
162000,7.0,10.0,8,0.05845627188682556
163000,13.25,16.25,8,0.07071985304355621
164000,6.75,9.25,8,0.06375960260629654
165000,4.25,7.25,8,0.026781801134347916
166000,9.38,12.38,8,0.10522232949733734
167000,18.0,21.0,8,0.024752294644713402
168000,12.75,15.75,8,0.12281957268714905
169000,7.38,10.38,8,0.1373201608657837
170000,15.75,18.75,8,0.032092150300741196
171000,10.12,13.12,8,0.043095074594020844
172000,14.75,17.75,8,0.06944828480482101
173000,12.5,15.5,8,0.03538839519023895
174000,14.75,17.75,8,0.038071878254413605
175000,11.5,14.5,8,0.03618008270859718
176000,10.38,13.38,8,0.0642419159412384
177000,7.88,10.88,8,0.11529742926359177
178000,14.75,17.75,8,0.0733201876282692
179000,15.12,18.12,8,0.04143728315830231
180000,8.75,11.75,8,0.09045222401618958
181000,6.25,9.25,8,0.035518579185009
182000,9.62,12.62,8,0.1548597514629364
183000,12.75,15.75,8,0.10178586095571518
184000,8.88,11.88,8,0.06210704520344734
185000,12.75,15.75,8,0.05791100487112999
186000,12.25,15.25,8,0.04245971515774727
187000,9.91,12.55,11,0.10505204647779465
188000,14.88,17.88,8,0.10588878393173218
189000,11.12,14.12,8,0.036348115652799606
190000,7.75,10.75,8,0.05492165684700012
191000,10.62,13.62,8,0.0534769706428051
192000,9.38,12.38,8,0.03881949186325073
193000,15.25,18.25,8,0.05999509617686272
194000,11.0,14.0,8,0.22955834865570068
195000,16.12,19.12,8,0.16606435179710388
196000,13.25,16.25,8,0.043475374579429626
197000,7.5,10.5,8,0.07908118516206741
198000,14.25,17.25,8,0.0442546010017395
199000,9.88,12.88,8,0.10887151211500168
200000,13.12,16.12,8,0.08020815253257751
201000,4.12,7.12,8,0.043106868863105774
202000,14.0,17.0,8,0.3088231384754181
203000,12.0,15.0,8,0.03628282621502876
204000,13.62,16.62,8,0.04950571805238724
205000,16.62,19.62,8,0.10050918906927109
206000,14.88,17.88,8,0.049073051661252975
207000,12.88,15.88,8,0.07252395898103714
208000,7.12,10.12,8,0.07633261382579803
209000,10.75,13.75,8,0.0560322031378746
210000,16.12,19.12,8,0.030071968212723732
211000,10.75,13.75,8,0.05415507033467293
212000,15.38,18.38,8,0.04372226446866989
213000,9.0,12.0,8,0.035413265228271484
214000,12.0,15.0,8,0.04094240441918373
215000,11.75,14.75,8,0.043654680252075195
216000,18.75,21.75,8,0.04172264039516449
217000,17.5,20.5,8,0.0385870561003685
218000,12.62,15.62,8,0.09578870236873627
219000,11.62,14.62,8,0.04298395663499832
220000,14.67,17.67,9,0.05228443816304207
221000,17.12,20.12,8,0.040549397468566895
222000,11.88,14.88,8,0.1083427220582962
223000,12.75,15.75,8,0.03128938376903534
224000,14.38,17.38,8,0.052279189229011536
225000,7.5,10.5,8,0.023060977458953857
226000,8.38,11.38,8,0.023577392101287842
227000,9.5,12.5,8,0.02988494001328945
228000,8.25,11.25,8,0.11207738518714905
229000,13.88,16.88,8,0.14149053394794464
230000,11.0,14.0,8,0.028104878962039948
231000,19.25,22.25,8,0.05291920155286789
232000,12.25,15.25,8,0.18274378776550293
233000,9.38,12.38,8,0.052982259541749954
234000,11.38,14.38,8,0.03815164417028427
235000,19.38,22.38,8,0.04492080584168434
236000,12.25,15.25,8,0.03813812509179115
237000,12.0,15.0,8,0.05586286261677742
238000,13.38,16.38,8,0.0677935779094696
239000,17.62,20.62,8,0.030023105442523956
240000,7.88,10.88,8,0.11031433939933777
241000,13.75,16.75,8,0.08678045123815536
242000,14.75,17.75,8,0.04381578788161278
243000,16.38,19.38,8,0.10589368641376495
244000,7.62,10.62,8,0.036935240030288696
245000,14.62,17.62,8,0.08263463526964188
246000,15.5,18.5,8,0.06581273674964905
247000,16.62,19.62,8,0.04926206171512604
248000,16.75,19.75,8,0.15499772131443024
249000,10.44,13.44,9,0.03935001790523529
250000,12.0,15.0,8,0.02995135448873043
251000,15.75,18.75,8,0.05358476936817169
252000,15.75,18.75,8,0.04363644868135452
253000,10.5,13.5,8,0.03730897232890129
254000,11.75,14.75,8,0.038122035562992096
255000,13.22,16.22,9,0.04672018438577652
256000,12.62,15.62,8,0.14977401494979858
257000,10.62,13.62,8,0.05547869950532913
258000,18.88,21.88,8,0.027354301884770393
259000,17.38,20.38,8,0.1011677160859108
260000,12.12,15.12,8,0.11045992374420166
261000,13.0,16.0,8,0.05202539265155792
262000,13.12,16.12,8,0.0549747571349144
263000,15.12,18.12,8,0.02552270144224167
264000,14.38,17.38,8,0.037846874445676804
265000,14.5,17.5,8,0.04604535922408104
266000,13.62,16.62,8,0.03155763819813728
267000,12.12,15.12,8,0.047110915184020996
268000,9.12,12.12,8,0.026782341301441193
269000,15.5,18.5,8,0.05431009829044342
270000,15.88,18.88,8,0.038911253213882446
271000,12.5,15.5,8,0.03923528268933296
272000,13.0,16.0,8,0.08851061761379242
273000,11.5,14.5,8,0.05524255707859993
274000,13.38,16.38,8,0.05274321511387825
275000,12.38,15.38,8,0.15902236104011536
276000,13.12,16.12,8,0.17979978024959564
277000,14.0,17.0,8,0.06101221218705177
278000,11.0,14.0,8,0.08250510692596436
279000,11.75,14.75,8,0.14877039194107056
280000,13.88,16.88,8,0.10379765182733536
281000,16.12,19.12,8,0.02685694955289364
282000,15.12,18.12,8,0.025098424404859543
283000,9.88,12.88,8,0.025972411036491394
284000,11.62,14.62,8,0.049469850957393646
285000,12.12,15.12,8,0.047894660383462906
286000,13.88,16.88,8,0.04124803841114044
287000,14.38,17.38,8,0.051822222769260406
288000,14.5,17.5,8,0.04994316026568413
289000,12.5,15.5,8,0.028418414294719696
290000,17.62,20.62,8,0.04873967915773392
291000,16.0,19.0,8,0.05067609250545502
292000,14.88,17.88,8,0.03659401088953018
293000,9.5,12.5,8,0.02586657740175724
294000,13.62,16.62,8,0.03894641250371933
295000,11.75,14.75,8,0.18441444635391235
296000,9.88,12.88,8,0.04042641818523407
297000,13.75,16.75,8,0.023891346529126167
298000,12.12,15.12,8,0.16935181617736816
299000,17.12,20.12,8,0.03407297283411026
300000,11.12,14.12,8,0.0278550423681736
